doc,word,value,value2
job4,time,1.811,0.15
job4,tool,0.0,0.0
job4,understanding,1.811,0.15
job4,using,0.0,0.0
job4,variety,0.0,0.0
job4,visualizing,0.0,0.0
job4,web,0.0,0.0
job4,website,2.099,0.174
job4,written,0.0,0.0
job4,year,0.0,0.0
job5,ability,1.405,0.093
job5,adobe,0.0,0.0
job5,advanced,0.0,0.0
job5,advertisement,2.099,0.139
job5,analysis,0.0,0.0
job5,analytic,0.0,0.0
job5,analyzing,0.0,0.0
job5,architecture,0.0,0.0
job5,aws,0.0,0.0
job5,bachelor,2.099,0.139
job5,background,1.251,0.083
job5,bioinformatics,0.0,0.0
job5,communicate,0.0,0.0
job5,contact,0.0,0.0
job5,corporate,2.099,0.139
job5,cs5,0.0,0.0
job5,data,0.0,0.0
job5,database,0.0,0.0
job5,datasets,0.0,0.0
job5,deadline,1.811,0.12
job5,degree,2.099,0.139
job5,delivering,0.0,0.0
job5,design,7.94,0.524
job5,designer,0.0,0.0
job5,discipline,0.0,0.0
job5,dreamweaver,0.0,0.0
job5,effective,1.811,0.12
job5,excellent,0.0,0.0
job5,experience,1.0,0.066
job5,experienced,0.0,0.0
job5,field,0.0,0.0
job5,five,0.0,0.0
job5,following,0.0,0.0
job5,four,0.0,0.0
job5,graphic,1.811,0.12
job5,html,2.504,0.165
job5,identity,2.099,0.139
job5,illustrator,1.811,0.12
job5,interactive,2.504,0.165
job5,java,0.0,0.0
job5,job1mail,0.0,0.0
job5,job44mail,0.0,0.0
job5,knowledge,1.811,0.12
job5,language,0.0,0.0
job5,large,0.0,0.0
job5,learning,0.0,0.0
job5,mac,0.0,0.0
job5,machine,0.0,0.0
job5,management,1.811,0.12
job5,managing,0.0,0.0
job5,marketing,3.622,0.239
job5,matlab,0.0,0.0
job5,medium,2.504,0.165
job5,meet,1.811,0.12
job5,method,0.0,0.0
job5,modelling,0.0,0.0
job5,multimedia,2.099,0.139
job5,number,0.0,0.0
job5,one,0.0,0.0
job5,oral,0.0,0.0
job5,packaging,0.0,0.0
job5,photoshop,1.811,0.12
job5,platform,0.0,0.0
job5,please,0.0,0.0
job5,predictive,0.0,0.0
job5,product,0.0,0.0
