doc,word,value,value2
job3,data architecture,0.0,0.0
job3,data design,0.0,0.0
job3,data modelling,2.504,0.218
job3,data science,1.588,0.138
job3,database bioinformatics,0.0,0.0
job3,degree graphic,0.0,0.0
job3,delivering data,0.0,0.0
job3,delivering machine,0.0,0.0
job3,design corporate,0.0,0.0
job3,design interactive,0.0,0.0
job3,design related,0.0,0.0
job3,design strong,0.0,0.0
job3,design web,0.0,0.0
job3,designer related,0.0,0.0
job3,discipline bioinformatics,0.0,0.0
job3,dreamweaver illustrator,0.0,0.0
job3,effective time,0.0,0.0
job3,excellent oral,0.0,0.0
job3,excellent skill,0.0,0.0
job3,experience advanced,0.0,0.0
job3,experience bioinformatics,0.0,0.0
job3,experience data,1.811,0.157
job3,experience delivering,0.0,0.0
job3,experience graphic,0.0,0.0
job3,experience number,1.811,0.157
job3,experience related,0.0,0.0
job3,experience tool,2.504,0.218
job3,experience using,0.0,0.0
job3,experience web,0.0,0.0
job3,experienced mac,0.0,0.0
job3,five year,0.0,0.0
job3,following language,1.811,0.157
job3,four year,0.0,0.0
job3,graphic design,0.0,0.0
job3,graphic designer,0.0,0.0
job3,identity advertisement,0.0,0.0
job3,identity product,0.0,0.0
job3,interactive medium,0.0,0.0
job3,java spark,0.0,0.0
job3,knowledge html,0.0,0.0
job3,knowledge variety,2.099,0.182
job3,language tool,1.811,0.157
job3,large datasets,2.504,0.218
job3,learning predictive,0.0,0.0
job3,learning project,2.099,0.182
job3,learning technique,2.099,0.182
job3,mac platform,0.0,0.0
job3,machine learning,2.81,0.244
job3,management skill,0.0,0.0
job3,managing analyzing,2.504,0.218
job3,marketing product,0.0,0.0
job3,marketing production,0.0,0.0
job3,marketing web,0.0,0.0
job3,matlab sas,1.811,0.157
job3,meet deadline,0.0,0.0
job3,method machine,0.0,0.0
job3,modelling method,0.0,0.0
job3,multimedia design,0.0,0.0
job3,number following,1.811,0.157
job3,one three,0.0,0.0
job3,oral written,0.0,0.0
job3,packaging advertisement,0.0,0.0
job3,photoshop dreamweaver,0.0,0.0
job3,photoshop illustrator,0.0,0.0
job3,platform excellent,0.0,0.0
job3,please contact,0.0,0.0
job3,predictive modelling,0.0,0.0
job3,product packaging,0.0,0.0
job3,production website,0.0,0.0
job3,proficient graphic,0.0,0.0
job3,proficient python,0.0,0.0
job3,programming background,1.251,0.109
job3,programming language,0.0,0.0
job3,proven experience,0.0,0.0
job3,python matlab,1.811,0.157
job3,python r,0.0,0.0
job3,r programming,0.0,0.0
job3,related field,0.0,0.0
job3,related scientific,0.0,0.0
job3,relevant programming,0.0,0.0
job3,sas java,0.0,0.0
job3,sas sql,2.504,0.218
job3,scala aws,0.0,0.0
job3,science machine,2.504,0.218
job3,scientific discipline,0.0,0.0
job3,skill ability,0.0,0.0
job3,skill adobe,0.0,0.0
job3,skill bioinformatics,0.0,0.0
job3,sophisticated statistical,0.0,0.0
job3,spark scala,0.0,0.0
job3,sql python,1.811,0.157
job3,statistic programming,1.811,0.157
job3,statistical method,0.0,0.0
job3,statistical technique,0.0,0.0
job3,strong knowledge,0.0,0.0
job3,strong statistic,1.811,0.157
job3,three year,1.588,0.138
job3,time management,0.0,0.0
job3,tool managing,2.504,0.218
job3,tool relevant,0.0,0.0
job3,tool sql,1.811,0.157
job3,understanding marketing,0.0,0.0
job3,using sophisticated,0.0,0.0
job3,variety machine,2.099,0.182
job3,visualizing large,2.504,0.218
job3,web design,0.0,0.0
job3,web marketing,0.0,0.0
job3,website design,0.0,0.0
job3,written skill,0.0,0.0
job3,year experience,1.251,0.109
job4,ability communicate,0.0,0.0
job4,ability meet,1.811,0.164
job4,adobe cs5,0.0,0.0
job4,advanced statistical,0.0,0.0
job4,advertisement multimedia,0.0,0.0
job4,analysis modelling,0.0,0.0
job4,analyzing visualizing,0.0,0.0
job4,aws tableau,0.0,0.0
job4,bachelor degree,2.099,0.19
job4,background data,0.0,0.0
job4,background photoshop,1.811,0.164
job4,background proven,0.0,0.0
job4,bioinformatics data,0.0,0.0
job4,bioinformatics database,0.0,0.0
job4,bioinformatics tool,0.0,0.0
job4,contact job1mail,0.0,0.0
job4,contact job44mail,2.504,0.227
job4,corporate identity,2.099,0.19
job4,cs5 programming,0.0,0.0
job4,data analysis,0.0,0.0
job4,data analytic,0.0,0.0
job4,data architecture,0.0,0.0
job4,data design,0.0,0.0
job4,data modelling,0.0,0.0
job4,data science,0.0,0.0
job4,database bioinformatics,0.0,0.0
job4,degree graphic,2.099,0.19
job4,delivering data,0.0,0.0
job4,delivering machine,0.0,0.0
job4,design corporate,2.099,0.19
job4,design interactive,0.0,0.0
job4,design related,2.099,0.19
job4,design strong,0.0,0.0
job4,design web,0.0,0.0
job4,designer related,2.099,0.19
job4,discipline bioinformatics,0.0,0.0
job4,dreamweaver illustrator,0.0,0.0
job4,effective time,1.811,0.164
job4,excellent oral,0.0,0.0
job4,excellent skill,0.0,0.0
job4,experience advanced,0.0,0.0
job4,experience bioinformatics,0.0,0.0
job4,experience data,0.0,0.0
job4,experience delivering,0.0,0.0
job4,experience graphic,2.099,0.19
job4,experience number,0.0,0.0
job4,experience related,0.0,0.0
job4,experience tool,0.0,0.0
job4,experience using,0.0,0.0
job4,experience web,0.0,0.0
job4,experienced mac,0.0,0.0
job4,five year,0.0,0.0
job4,following language,0.0,0.0
job4,four year,0.0,0.0
job4,graphic design,1.811,0.164
job4,graphic designer,2.099,0.19
job4,identity advertisement,0.0,0.0
job4,identity product,2.504,0.227
job4,interactive medium,0.0,0.0
job4,java spark,0.0,0.0
job4,knowledge html,0.0,0.0
job4,knowledge variety,0.0,0.0
job4,language tool,0.0,0.0
job4,large datasets,0.0,0.0
job4,learning predictive,0.0,0.0
job4,learning project,0.0,0.0
job4,learning technique,0.0,0.0
